N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
951881,1132399,2839.771096,0,1,2,"[5.428571429, 4.0]","[5.801346183, 4.532901923]","[6.223002746, 5.126251064]","[6.699098192, 5.787099659]","[7.235837076, 6.523317643]","[7.840146408, 7.343687408]","[8.519759279, 8.258009505]","[9.283308105, 9.277220484]","[10.14042863, 10.41352433]","[11.10187591, 11.68053906]","[12.17965367, 13.09346016]","[13.38715848, 14.66924277]","[14.73934045, 16.42680478]","[16.25288236, 18.38725314]"
1554294,1311349,435.3525913,1,0,1,"[6.142857143, 3.285714286]","[6.434514444, 3.874229241]","[6.782667714, 4.488398471]","[7.189547119, 5.133656211]","[7.657906545, 5.815627472]","[8.191039548, 6.540178561]","[8.792800194, 7.313468899]","[9.467628873, 8.142004597]","[10.22058323, 9.032694261]","[11.05737441, 9.992907511]","[11.98440883, 11.03053672]","[13.00883581, 12.15406252]","[14.13860127, 13.3726235]","[15.38250809, 14.69609092]"
1253276,1703525,4116.53781,1,0,1,"[1.142857143, 5.714285714]","[1.527647645, 5.627545122]","[1.945073542, 5.561502252]","[2.399254088, 5.517216293]","[2.894753389, 5.495918626]","[3.436631213, 5.499029997]","[4.030499406, 5.528179679]","[4.682584634, 5.585226898]","[5.399798148, 5.672284742]","[6.189813298, 5.791746831]","[7.061151704, 5.946317054]","[8.023279062, 6.139042719]","[9.086711603, 6.373351481]","[10.26313445, 6.653092487]"
744380,808948,1293.603825,0,1,2,"[4.285714286, 8.285714286]","[4.383655122, 8.617148923]","[4.493555297, 8.956788482]","[4.614666338, 9.305486906]","[4.746380131, 9.664050612]","[4.888210304, 10.03324787]","[5.039776268, 10.41381692]","[5.200789566, 10.80647311]","[5.371042245, 11.21191502]","[5.550396889, 11.63082986]","[5.738778046, 12.06389832]","[5.93616502, 12.51179867]","[6.142585807, 12.97521046]","[6.358111639, 13.4548179]"
1043066,796370,3528.483275,0,1,2,"[2.0, 1.142857143]","[2.115681535, 1.456908438]","[2.245058455, 1.820476855]","[2.390100534, 2.240983296]","[2.553069254, 2.726953288]","[2.736561156, 3.28818113]","[2.943557625, 3.935918354]","[3.177482055, 4.683090095]","[3.442265529, 5.544543596]","[3.742422188, 6.537333289]","[4.083135845, 7.681048253]","[4.470359367, 8.998187817]","[4.910928805, 10.51459263]","[5.412694452, 12.25993938]"
1725087,814333,1633.380156,0,1,2,"[2.714285714, 1.0]","[2.743549736, 1.211419564]","[2.786597607, 1.449256221]","[2.845010308, 1.71715018]","[2.920591093, 2.019232417]","[3.015395316, 2.360191087]","[3.131764318, 2.745346932]","[3.272363875, 3.180738846]","[3.44022785, 3.673220949]","[3.638807778, 4.230572855]","[3.872029115, 4.8616247]","[4.144355082, 5.576399006]","[4.460859175, 6.38627175]","[4.827307421, 7.304155021]"
1599423,1118603,3935.518967,0,1,2,"[4.142857143, 1.571428571]","[5.13587754, 2.461146959]","[6.431563629, 3.684114293]","[8.129975718, 5.356403165]","[10.36498823, 7.633825027]","[13.31577441, 10.72546744]","[17.22219127, 14.91182875]","[22.40538519, 20.5691037]","[29.29538129, 28.20169213]","[38.46800913, 38.48569049]","[50.69429658, 52.32703236]","[67.00649314, 70.93913279]","[88.7862323, 95.94643762]","[117.8820969, 129.5222657]"
1571659,884235,3267.244385,0,1,2,"[4.571428571, 5.857142857]","[4.425403056, 6.449136779]","[4.303669874, 7.070305327]","[4.20540382, 7.723669189]","[4.129908761, 8.412393184]","[4.076612974, 9.139801544]","[4.045065168, 9.909393879]","[4.034931163, 10.7248619]","[4.045991212, 11.59010699]","[4.078137914, 12.50925867]","[4.131374748, 13.48669417]","[4.205815179, 14.52705895]","[4.301682353, 15.63528847]","[4.419309335, 16.81663121]"
1263436,978954,4162.040172,1,0,1,"[4.285714286, 3.428571429]","[4.679478239, 3.678687925]","[5.106523426, 3.952464711]","[5.569773715, 4.251874174]","[6.07240488, 4.579062962]","[6.617866456, 4.936366919]","[7.209905468, 5.326327326]","[7.852592204, 5.751708532]","[8.550348207, 6.215517121]","[9.307976661, 6.721022722]","[10.1306954, 7.271780617]","[11.02417274, 7.871656301]","[11.99456637, 8.524852132]","[13.04856556, 9.235936288]"
1348902,757019,274.3172647,0,1,2,"[4.714285714, 7.714285714]","[4.953375285, 8.160217926]","[5.206880577, 8.631200686]","[5.475593144, 9.128658833]","[5.760350003, 9.654097301]","[6.062036162, 10.20910559]","[6.381587299, 10.7953625]","[6.719992585, 11.41464115]","[7.07829763, 12.06881416]","[7.457607663, 12.75985925]","[7.859090842, 13.48986511]","[8.283981691, 14.26103743]","[8.733584898, 15.07570562]","[9.209279103, 15.9363294]"
