N1,N2,Ts,alpha1*,alpha2*,alpha*,gamI-Day1,gamI-Day2,gamI-Day3,gamI-Day4,gamI-Day5,gamI-Day6,gamI-Day7,gamI-Day8,gamI-Day9,gamI-Day10,gamI-Day11,gamI-Day12,gamI-Day13,gamI-Day14
1530851,935312,1912.759233,0,1,2,"[5.0, 2.571428571]","[4.806025985, 3.218219635]","[4.682423138, 3.946217286]","[4.630250399, 4.770928901]","[4.651784986, 5.71012712]","[4.750613006, 6.784239941]","[4.931745423, 8.016801061]","[5.20176234, 9.434970361]","[5.568989289, 11.0701363]","[6.043709516, 12.95861263]","[6.638417605, 15.14244595]","[7.368119826, 17.67035005]","[8.250688641, 20.5987893]","[9.307278601, 23.99323228]"
1348065,1018670,1556.218407,1,0,1,"[1.285714286, 1.857142857]","[1.425812544, 1.717047726]","[1.564345662, 1.5991724]","[1.702346099, 1.501007775]","[1.840762196, 1.420370139]","[1.980470979, 1.355361407]","[2.122289482, 1.304334355]","[2.266984794, 1.265862214]","[2.415282997, 1.23871209]","[2.567877134, 1.221821718]","[2.725434335, 1.214279162]","[2.888602223, 1.215305091]","[3.058014681, 1.224237302]","[3.234297088, 1.240517222]"
1667539,701662,1085.684041,0,1,2,"[4.0, 7.428571429]","[4.280920951, 8.868898819]","[4.639813605, 10.54135557]","[5.087687982, 12.48642647]","[5.637596585, 14.75139822]","[6.304968101, 17.39151563]","[7.10799839, 20.4713315]","[8.068108224, 24.06628192]","[9.210478672, 28.26452332]","[10.56467727, 33.16907525]","[12.16538936, 38.90031622]","[14.05327207, 45.59888985]","[16.27595095, 53.4290867]","[18.88918131, 62.58277213]"
1228750,1674734,732.8891257,1,0,1,"[4.571428571, 7.0]","[5.771311054, 8.12565892]","[7.239471124, 9.477981153]","[9.034235639, 11.10521732]","[11.22653638, 13.06600391]","[13.90262717, 15.43160151]","[17.16738465, 18.28861426]","[21.14831701, 21.74229353]","[26.00043129, 25.92055053]","[31.91214098, 30.97882854]","[39.11243328, 37.10601712]","[47.87956004, 44.53162831]","[58.55156971, 53.53449985]","[71.53906037, 64.45334425]"
1179488,1232215,586.2012452,1,0,1,"[4.571428571, 1.857142857]","[5.423330495, 2.114096342]","[6.431082511, 2.420800323]","[7.623276967, 2.786297876]","[9.033745784, 3.221292515]","[10.7025194, 3.738452237]","[12.67696071, 4.352769169]","[15.01310565, 5.081984888]","[17.77724798, 5.947093413]","[21.04781228, 6.972935936]","[24.91756654, 8.188903799]","[29.4962359, 9.629769401]","[34.91358893, 11.33666813]","[41.32307966, 13.35825813]"
917891,985070,1787.333792,0,1,2,"[8.0, 1.285714286]","[8.538842068, 2.256621287]","[9.142231019, 3.432777683]","[9.820739029, 4.852825289]","[10.58682954, 6.562523412]","[11.45520182, 8.616051791]","[12.44319837, 11.07755084]","[13.57128655, 14.02294192]","[14.86362806, 17.54207793]","[16.34875179, 21.74128325]","[18.06034904, 26.74635242]","[20.03821298, 32.70608883]","[22.32934791, 39.7964778]","[24.98927891, 48.22560469]"
770421,709561,880.6605442,1,0,1,"[5.285714286, 8.285714286]","[5.890746079, 7.798189571]","[6.427446544, 7.397849884]","[6.906607948, 7.071648636]","[7.337387127, 6.808527752]","[7.727554487, 6.599115108]","[8.083704936, 6.435468206]","[8.411436889, 6.310856673]","[8.715504008, 6.219577872]","[8.999943791, 6.156800658]","[9.268186646, 6.118432847]","[9.523148374, 6.101008848]","[9.767308582, 6.101594384]","[10.00277716, 6.117705736]"
1257187,1196323,1399.612134,1,0,1,"[3.571428571, 3.714285714]","[4.246654386, 3.825313924]","[5.003688693, 3.954350767]","[5.852792782, 4.103600896]","[6.805509768, 4.275545148]","[7.874824592, 4.472975041]","[9.075343707, 4.699031545]","[10.42349729, 4.957248715]","[11.93776648, 5.251602746]","[13.63893866, 5.586567108]","[15.55039445, 5.967174551]","[17.6984303, 6.399086839]","[20.1126207, 6.888673106]","[22.82622515, 7.443097928]"
1698510,1797041,847.0767503,1,0,1,"[7.571428571, 7.142857143]","[9.588864587, 8.314680103]","[12.06267743, 9.707377831]","[15.09116911, 11.36538517]","[18.79344935, 13.34231154]","[23.31380583, 15.70285213]","[28.82698627, 18.52509777]","[35.54458072, 21.90332594]","[43.72273058, 25.95137299]","[53.67143572, 30.80670721]","[65.76578528, 36.63534746]","[80.4595008, 43.63780044]","[98.30125529, 52.05622463]","[119.9543187, 62.18306961]"
690559,796282,875.7602613,1,0,1,"[4.285714286, 4.857142857]","[4.452389991, 4.889859839]","[4.615613858, 4.925712235]","[4.775699106, 4.964589249]","[4.932941531, 5.00638803]","[5.087620578, 5.051013216]","[5.240000339, 5.098376504]","[5.390330569, 5.148396212]","[5.538847486, 5.200996944]","[5.685774743, 5.256109169]","[5.831324065, 5.313668948]","[5.975696172, 5.373617547]","[6.119081291, 5.435901211]","[6.261659986, 5.50047082]"
